[Performance] 2025-03-24 10:22:16: 2913624 bytes/s, 23308992 bps, 56 fps
[Performance] 2025-03-24 10:22:17: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:18: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:19: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:20: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:21: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:22: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:23: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:24: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:25: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:26: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:27: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:28: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:29: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:30: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:31: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:32: 3173769 bytes/s, 25390152 bps, 61 fps
[Performance] 2025-03-24 10:22:33: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:34: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:35: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:36: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:37: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:38: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:39: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:40: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:41: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:42: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:43: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:44: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:45: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:46: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:47: 3173769 bytes/s, 25390152 bps, 61 fps
[Performance] 2025-03-24 10:22:48: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:49: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:50: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:51: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:52: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:53: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:54: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:55: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:56: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:57: 3173769 bytes/s, 25390152 bps, 61 fps
[Performance] 2025-03-24 10:22:58: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:22:59: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:00: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:01: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:02: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:03: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:04: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:05: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:06: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:07: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:08: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:09: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:10: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:11: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:12: 3173769 bytes/s, 25390152 bps, 61 fps
[Performance] 2025-03-24 10:23:13: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:14: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:15: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:16: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:17: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:18: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:19: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:20: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:21: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:22: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:23: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:24: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:25: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:26: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:27: 3173769 bytes/s, 25390152 bps, 61 fps
[Performance] 2025-03-24 10:23:28: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:29: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:30: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:31: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:32: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:33: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:34: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:35: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:36: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:37: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:38: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:39: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:40: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:41: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:42: 3173769 bytes/s, 25390152 bps, 61 fps
[Performance] 2025-03-24 10:23:43: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:44: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:45: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:46: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:47: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:48: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:49: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:50: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:51: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:52: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:53: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:23:54: 3121740 bytes/s, 24973920 bps, 60 fps
