[Performance] 2025-03-24 09:57:32: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:33: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:34: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:35: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:36: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:37: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:38: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:39: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:40: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:41: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:42: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:57:43: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:44: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:45: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:46: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:47: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:48: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:49: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:50: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:51: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:52: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:53: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:54: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:55: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:56: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:57:57: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:58: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:59: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:00: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:01: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:02: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:03: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:04: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:05: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:06: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:58:07: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:08: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:09: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:10: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:11: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:58:12: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:13: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:14: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:15: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:16: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:58:17: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:18: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:19: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:20: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:21: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:22: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:23: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:24: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:25: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:26: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:58:27: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:28: 6295509 bytes/s, 50364072 bps, 121 fps
